comment_score,percent_positive,percent_negative
2931,0.3333333333333333,0.6666666666666666
2921,0.0,1.0
2911,0.0,1.0
2890,0.0,1.0
2884,0.0,1.0
2883,0.0,1.0
2878,0.0,1.0
2875,0.5,1.0
2869,1.0,1.0
2867,1.0,1.0
2866,0.0,1.0
2857,0.0,1.0
2851,0.0,0.0
2840,0.0,1.0
2831,0.0,1.0
2830,0.0,1.0
2828,0.0,1.0
2823,1.0,1.0
2822,0.0,1.0
2821,0.0,0.6666666666666666
2811,0.0,1.0
2809,1.0,1.0
2808,0.0,1.0
2804,0.0,1.0
2799,0.0,1.0
2790,0.0,1.0
2789,0.0,1.0
2784,0.0,1.0
2776,1.0,1.0
2774,0.0,1.0
2772,0.0,1.0
2770,0.0,1.0
2767,0.0,1.0
2760,0.0,1.0
2758,0.0,1.0
2757,0.0,1.0
2756,0.0,1.0
2755,0.0,1.0
2750,0.0,1.0
2749,0.0,0.0
2743,0.0,1.0
2734,1.0,1.0
2733,0.0,1.0
2732,0.0,1.0
2730,1.0,1.0
2728,0.0,1.0
2727,0.5,1.0
2721,0.0,1.0
2714,0.0,0.0
2708,1.0,1.0
2707,0.5,0.5
2704,0.0,1.0
2702,0.0,1.0
2701,0.0,1.0
2693,0.5,1.0
2684,0.0,1.0
2683,0.0,1.0
2682,1.0,1.0
2675,0.0,1.0
2674,0.0,1.0
2670,0.0,1.0
2669,0.0,1.0
2667,1.0,0.0
2664,0.0,1.0
2660,0.0,1.0
2654,0.0,1.0
2652,0.0,1.0
2643,1.0,1.0
2634,0.0,1.0
2633,0.0,1.0
2630,1.0,1.0
2629,0.0,1.0
2627,0.0,1.0
2625,0.0,1.0
2621,1.0,1.0
2620,0.0,1.0
2616,0.0,1.0
2614,0.0,1.0
2612,0.0,1.0
2609,0.0,1.0
2606,1.0,1.0
2604,0.0,1.0
2601,0.0,1.0
2598,0.0,1.0
2596,1.0,1.0
2595,0.0,1.0
2594,0.0,1.0
2587,0.0,1.0
2585,1.0,1.0
2584,0.0,1.0
2580,0.0,1.0
2579,0.0,1.0
2577,0.0,1.0
2576,0.0,1.0
2571,0.5,1.0
2570,0.0,1.0
2563,0.0,1.0
2562,0.0,1.0
2553,0.0,1.0
2551,0.0,1.0
2547,0.0,1.0
2543,0.0,1.0
2539,0.0,1.0
2534,0.0,1.0
2532,0.0,1.0
2531,0.0,1.0
2527,0.0,1.0
2518,0.0,1.0
2517,1.0,1.0
2507,0.0,1.0
2501,1.0,1.0
2497,0.0,1.0
2492,0.0,1.0
2491,0.0,1.0
2486,0.0,1.0
2485,0.0,1.0
2483,0.0,1.0
2481,0.0,1.0
2480,0.0,1.0
2479,0.0,1.0
2476,0.0,1.0
2472,0.0,1.0
2470,0.0,1.0
2459,0.0,1.0
2457,0.0,1.0
2453,0.0,1.0
2451,0.0,1.0
2447,0.0,1.0
2446,1.0,1.0
2444,0.5,0.5
2443,0.0,1.0
2438,0.0,1.0
2437,0.0,1.0
2436,0.0,1.0
2432,0.0,1.0
2430,0.0,1.0
2428,0.0,1.0
2423,0.0,1.0
2422,1.0,1.0
2413,0.0,1.0
2412,0.0,1.0
2404,1.0,1.0
2400,0.0,1.0
2397,0.0,1.0
2396,0.0,1.0
2395,0.0,1.0
2394,0.5,0.5
2387,0.0,1.0
2380,0.0,1.0
2377,0.0,1.0
2376,0.0,1.0
2375,0.0,1.0
2374,1.0,1.0
2371,0.0,1.0
2369,0.0,1.0
2367,0.0,1.0
2365,0.0,1.0
2361,1.0,0.5
2359,0.0,1.0
2356,0.0,1.0
2353,0.0,1.0
2352,1.0,1.0
2344,0.0,1.0
2343,0.0,0.5
2342,0.0,1.0
2337,1.0,1.0
2331,0.0,1.0
2330,0.0,1.0
2329,0.5,1.0
2328,0.0,1.0
2323,0.0,1.0
2322,0.0,1.0
2319,0.0,1.0
2317,0.0,0.0
2314,0.0,1.0
2306,0.0,1.0
2305,1.0,1.0
2304,0.5,1.0
2299,1.0,0.0
2297,0.0,1.0
2295,0.0,1.0
2294,0.0,1.0
2292,1.0,1.0
2287,0.0,1.0
2284,0.0,1.0
2281,0.0,1.0
2279,0.0,1.0
2277,0.0,1.0
2274,0.0,1.0
2273,0.0,1.0
2267,0.5,1.0
2262,0.0,1.0
2260,1.0,1.0
2258,0.0,1.0
2256,0.0,1.0
2254,0.0,1.0
2252,0.0,1.0
2250,0.0,1.0
2248,0.0,1.0
2246,0.0,1.0
2245,0.0,1.0
2242,0.0,1.0
2234,1.0,1.0
2231,0.0,0.6666666666666666
2230,0.0,1.0
2229,0.0,1.0
2228,0.0,1.0
2223,1.0,0.0
2219,0.5,1.0
2215,0.0,1.0
2212,0.0,1.0
2200,0.0,1.0
2199,0.0,1.0
2195,1.0,1.0
2192,1.0,1.0
2190,0.0,1.0
2188,0.0,1.0
2187,1.0,1.0
2186,0.0,1.0
2185,0.0,1.0
2182,0.0,1.0
2181,0.0,1.0
2180,0.0,1.0
2179,0.0,1.0
2173,0.0,1.0
2171,0.0,1.0
2169,0.0,1.0
2167,0.0,1.0
2164,0.0,1.0
2161,0.0,1.0
2157,0.0,1.0
2155,0.0,1.0
2150,0.0,1.0
2145,0.0,1.0
2144,0.0,1.0
2142,0.0,1.0
2139,0.0,1.0
2136,0.0,1.0
2133,0.0,1.0
2130,0.0,1.0
2128,0.0,1.0
2126,0.0,1.0
2122,1.0,1.0
2121,0.0,1.0
2119,0.0,1.0
2116,0.0,1.0
2115,0.0,1.0
2113,1.0,1.0
2112,0.0,1.0
2107,0.0,1.0
2106,0.0,1.0
2105,0.0,1.0
2104,0.0,1.0
2102,1.0,1.0
2101,0.0,1.0
2098,1.0,1.0
2091,1.0,1.0
2089,0.0,1.0
2087,1.0,1.0
2086,0.0,1.0
2085,0.0,1.0
2084,1.0,1.0
2081,0.0,1.0
2080,0.0,1.0
2077,0.0,1.0
2073,0.0,1.0
2071,0.0,1.0
2070,0.0,1.0
2067,0.0,1.0
2064,0.0,1.0
2063,0.0,1.0
2060,1.0,1.0
2058,1.0,1.0
2056,0.5,1.0
2054,1.0,1.0
2052,0.0,0.5
2051,0.0,1.0
2050,0.0,1.0
2049,0.0,1.0
2048,0.0,1.0
2046,0.0,1.0
2045,0.0,1.0
2036,0.0,1.0
2034,1.0,1.0
2032,0.0,0.5
2028,0.0,1.0
2018,1.0,1.0
2017,0.0,1.0
2015,0.0,0.0
2014,0.0,1.0
2012,0.0,1.0
2010,0.0,1.0
2009,1.0,1.0
2007,0.0,1.0
2005,0.0,1.0
2004,1.0,1.0
2003,0.0,1.0
2002,1.0,1.0
2001,0.0,1.0
2000,0.0,1.0
1996,0.5,1.0
1995,0.0,1.0
1993,1.0,1.0
1992,0.0,1.0
1990,0.0,1.0
1989,0.0,1.0
1988,0.0,1.0
1987,0.0,1.0
1985,1.0,1.0
1983,1.0,1.0
1981,0.0,1.0
1980,0.0,1.0
1975,0.0,1.0
1971,0.0,1.0
1970,0.0,1.0
1967,0.0,1.0
1964,0.0,1.0
1962,0.0,1.0
1961,0.0,0.5
1959,0.0,1.0
1958,0.0,1.0
1951,0.0,1.0
1950,0.0,1.0
1946,0.5,0.5
1945,0.0,0.0
1944,1.0,1.0
1943,0.0,1.0
1941,0.0,1.0
1940,0.0,1.0
1936,0.0,1.0
1935,0.0,1.0
1933,0.3333333333333333,1.0
1931,0.0,1.0
1930,0.0,1.0
1929,0.0,1.0
1928,0.5,1.0
1925,0.0,1.0
1923,0.0,1.0
1922,0.5,0.5
1921,1.0,1.0
1920,0.0,1.0
1918,0.5,1.0
1917,1.0,1.0
1910,0.0,1.0
1909,1.0,1.0
1908,0.0,1.0
1907,0.5,1.0
1903,0.0,1.0
1902,0.5,0.5
1900,0.0,1.0
1899,1.0,0.5
1898,0.0,1.0
1897,1.0,1.0
1893,0.0,1.0
1891,0.0,1.0
1884,1.0,0.0
1882,0.0,1.0
1881,0.0,1.0
1880,0.0,0.0
1876,0.0,1.0
1874,0.0,1.0
1873,0.0,1.0
1872,0.0,1.0
1871,0.0,1.0
1869,0.0,1.0
1867,0.0,1.0
1866,0.0,1.0
1865,0.0,1.0
1864,0.0,1.0
1863,0.3333333333333333,0.6666666666666666
1862,0.0,1.0
1861,0.0,1.0
1860,0.0,1.0
1859,0.0,1.0
1858,0.0,1.0
1857,1.0,1.0
1856,0.0,1.0
1855,0.0,1.0
1854,0.0,1.0
1853,0.0,1.0
1852,0.0,1.0
1851,0.0,1.0
1850,1.0,1.0
1849,0.0,1.0
1848,1.0,1.0
1847,0.25,1.0
1845,0.0,1.0
1841,0.3333333333333333,1.0
1839,0.0,1.0
1837,0.0,1.0
1835,0.0,1.0
1833,0.0,1.0
1826,0.0,1.0
1825,0.0,1.0
1824,0.0,1.0
1820,0.0,1.0
1819,0.0,1.0
1818,0.3333333333333333,1.0
1817,0.25,0.75
1816,0.0,1.0
1815,0.5,1.0
1813,0.0,1.0
1812,0.0,1.0
1811,0.0,1.0
1810,0.0,1.0
1809,0.0,1.0
1808,0.0,1.0
1807,0.0,1.0
1806,1.0,0.0
1805,1.0,1.0
1803,0.5,1.0
1800,1.0,1.0
1793,0.0,1.0
1791,1.0,1.0
1788,0.5,1.0
1786,0.0,0.5
1784,1.0,1.0
1783,0.0,1.0
1782,1.0,1.0
1781,1.0,0.0
1780,1.0,1.0
1779,1.0,0.0
1778,0.0,1.0
1777,0.0,1.0
1776,0.3333333333333333,1.0
1774,1.0,1.0
1773,0.5,1.0
1772,0.0,1.0
1771,1.0,1.0
1769,0.0,1.0
1768,0.0,1.0
1767,0.0,1.0
1766,0.0,1.0
1765,0.0,1.0
1764,0.0,1.0
1763,0.0,0.0
1762,1.0,1.0
1761,0.0,1.0
1755,0.0,1.0
1753,0.0,1.0
1752,0.0,0.0
1750,0.0,1.0
1749,0.0,1.0
1748,0.0,1.0
1745,0.5,1.0
1743,0.0,1.0
1742,1.0,1.0
1737,1.0,1.0
1734,1.0,1.0
1733,0.0,1.0
1730,0.0,1.0
1728,0.0,1.0
1722,0.5,1.0
1721,1.0,1.0
1720,0.0,1.0
1718,0.0,1.0
1715,0.0,1.0
1714,0.0,1.0
1713,0.0,1.0
1711,0.5,0.5
1709,0.0,1.0
1707,0.0,1.0
1704,0.0,1.0
1700,0.5,1.0
1699,0.0,1.0
1696,0.3333333333333333,0.6666666666666666
1695,0.0,1.0
1694,0.6666666666666666,1.0
1693,0.0,1.0
1692,1.0,1.0
1691,0.0,1.0
1690,0.0,1.0
1688,0.0,1.0
1686,0.6666666666666666,1.0
1685,0.0,1.0
1684,0.0,0.0
1683,0.0,1.0
1680,0.0,1.0
1679,0.5,1.0
1677,0.0,1.0
1676,0.0,0.5
1675,0.0,1.0
1671,0.0,1.0
1670,0.0,0.0
1668,0.3333333333333333,1.0
1667,0.0,1.0
1664,1.0,1.0
1662,0.0,1.0
1660,0.0,1.0
1658,0.0,1.0
1656,1.0,1.0
1655,0.0,1.0
1654,0.0,1.0
